reach,d0,d1,d2,d3,d4,nUp,u0,u1,u2,u3,u4,area,upArea
9330,9354,-1.0,-1.0,-1.0,-1.0,2,9300,9299,-1,-1,-1.0,20.40056442181407,174436.46971633277
9329,9354,-1.0,-1.0,-1.0,-1.0,2,9298,9297,-1,-1,-1.0,16.150290751035158,371.9567937360897
9328,9353,-1.0,-1.0,-1.0,-1.0,2,9296,9295,-1,-1,-1.0,30.425935614523286,248.81298542048785
9327,9353,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,38.61628570172097,38.61628570172097
9326,9352,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,207.053728802704,207.053728802704
9325,9352,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,93.66966324037644,93.66966324037644
9324,9351,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,126.52444710400309,126.52444710400309
9323,9351,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,57.76671049548885,57.76671049548885
9322,9350,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,42.74949241376336,42.74949241376336
9321,9350,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,31.558301065634268,31.558301065634268
9320,9348,-1.0,-1.0,-1.0,-1.0,2,9294,9293,-1,-1,-1.0,5.596955883431673,212674.52153117684
9319,9348,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,170.52732930454732,170.52732930454732
9318,9344,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,67.79077067006284,67.79077067006284
9317,9344,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,36.628153543449685,36.628153543449685
9316,9342,-1.0,-1.0,-1.0,-1.0,2,9292,9291,-1,-1,-1.0,15.410090298826699,4072.426340148306
9315,9342,-1.0,-1.0,-1.0,-1.0,2,9290,9289,-1,-1,-1.0,58.800115105244686,291.96683834227014
9314,9341,-1.0,-1.0,-1.0,-1.0,2,9288,9287,-1,-1,-1.0,3.187913386059989,671.5658709949902
9313,9341,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,38.07065389225695,38.07065389225695
9312,9340,-1.0,-1.0,-1.0,-1.0,2,9286,9285,-1,-1,-1.0,8.349769572018706,7893.806580530609
9311,9340,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,80.73496557457516,80.73496557457516
9310,9338,-1.0,-1.0,-1.0,-1.0,2,9284,9283,-1,-1,-1.0,11.34567856030306,4587.048397815351
9309,9338,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,26.74661567919227,26.74661567919227
9308,9336,-1.0,-1.0,-1.0,-1.0,2,9282,9281,-1,-1,-1.0,25.739235943846484,163.9127398707006
9307,9336,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,47.67183541578032,47.67183541578032
9306,9334,-1.0,-1.0,-1.0,-1.0,2,9280,9279,-1,-1,-1.0,2.9491673367458016,3766.2764522947664
9305,9334,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,64.49112189271797,64.49112189271797
9304,9333,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,54.806221826271106,54.806221826271106
9303,9333,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,64.22024498333865,64.22024498333865
9302,9332,-1.0,-1.0,-1.0,-1.0,2,9278,9277,-1,-1,-1.0,0.9514964631105608,12097.579384241399
9301,9332,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,93.41279012342888,93.41279012342888
9300,9330,-1.0,-1.0,-1.0,-1.0,2,9276,9275,-1,-1,-1.0,27.529327383215193,173873.82097032352
9299,9330,-1.0,-1.0,-1.0,-1.0,2,9274,9273,-1,-1,-1.0,82.64708491983698,542.2481815874277
9298,9329,-1.0,-1.0,-1.0,-1.0,2,9272,9271,-1,-1,-1.0,8.973048782339124,316.34847638601053
9297,9329,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,39.45802659904405,39.45802659904405
9296,9328,-1.0,-1.0,-1.0,-1.0,2,9270,9269,-1,-1,-1.0,22.52649454384545,155.12592200468887
